c,id,la,lo,m,n,r
97,567,51.781574,1.142974,Clacton Seafront,clactonseafront,11
97,519,51.004321999999995,-0.100143,Clair,clair,17
3,397,-31.950868,115.88188400000001,Claisebrook Cove,claisebrookcove,27
97,636,52.076428,0.581882,Clare Castle,clarecastle,11
3,1177,-33.863652,138.624001,Clare Valley,clarevalley,30
42,1643,53.712598,-8.997864,Claremorris,claremorris,29
42,1027,52.796642000000006,-8.441796,Clarisford,clarisford,29
97,821,53.541552,-0.025384,Cleethorpes,cleethorpes,18
3,1706,-34.964185,138.698602,Cleland,cleland,30
98,438,28.557404,-81.77044599999999,Clermont Waterfront,clermontwaterfront,26
3,550,-27.539355,153.274298,Cleveland,cleveland,4
42,374,51.617636,-8.89884,Clonakilty,clonakilty,29
3,1760,-20.70873,140.519814,Cloncurry,cloncurry,4
42,1672,52.36533,-7.684522,Clonmel,clonmel,29
14,1708,48.40457,-123.350007,Clover Point,cloverpoint,63
97,572,53.268021999999995,-1.065717,Clumber Park,clumberpark,13
3,1468,-35.913461,145.668554,Cobram,cobram,6
3,1062,-37.733810999999996,144.968861,Coburg,coburg,6
3,745,-30.295687,153.1376,Coffs Harbour,coffsharbour,5
3,1596,-35.809232,144.223054,Cohuna,cohuna,6
97,907,51.74064,-4.669924,Colby,colby,12
97,188,51.89167,0.902724,Colchester Castle,colchestercastle,11
97,1331,54.570723,-6.020504,Colin Glen,colinglen,15
98,404,38.999103000000005,-76.932737,College Park,collegepark,26
97,58,52.945170999999995,-1.09786,Colwick,colwick,13
97,886,54.54959300000001,-5.7404150000000005,Comber,comber,15
97,290,53.424006999999996,-1.4416120000000001,Concord,concord,18
97,229,53.16078100000001,-2.229795,Congleton,congleton,8
97,286,52.739475,-1.543021,Conkers,conkers,13
85,1319,-34.008575,18.440688,Constantia Greenbelt,constantiagreenbelt,48
97,1059,53.279388,-3.8089660000000003,Conwy,conwy,12
3,736,-33.913708,151.116857,Cooks River,cooksriver,5
3,365,-27.885246999999996,153.281709,Coomera,coomera,4
42,1050,54.08147099999999,-7.086978,Cootehill,cootehill,29
97,633,52.49387900000001,-0.691774,Corby,corby,13
42,1714,53.315227,-6.4102760000000005,Corkagh,corkagh,29
65,420,-36.895495000000004,174.789414,Cornwall Park,cornwall,25
3,807,-31.997296999999996,115.751967,Cottesloe,cottesloe,27
97,69,52.39172,-1.524026,Coventry,coventry,14
3,978,-33.812714,148.703733,Cowra,cowra,5
97,390,51.441168,-0.372075,Crane Park,crane,10
97,932,51.13819,-0.49151000000000006,Cranleigh,cranleigh,17
98,1100,37.806567,-122.448792,Crissy Field,crissyfield,26
3,968,-34.040937,151.16183600000002,Cronulla,cronulla,5
97,1354,53.482690000000005,-3.046711,Crosby,crosby,8
97,483,53.775754000000006,-1.5575700000000001,Cross Flatts,crossflatts,18
97,1182,53.44217,-2.8917740000000003,Croxteth Hall,croxtethhall,8
97,154,51.419846,-0.065703,Crystal Palace,crystalpalace,10
97,612,53.708614000000004,-2.659442,Cuerden Valley,cuerdenvalley,8
3,419,-33.766483,151.28233899999998,Curl Curl,curlcurl,5
97,1492,51.656234000000005,-3.013498,Cwmbran,cwmbran,12
74,1720,52.385438,16.736391,Dabrowka,dabrowka,23
3,637,-27.188036,151.262339,Dalby,dalby,4
97,1408,54.273821,-0.686599,Dalby Forest,dalbyforest,18
3,1636,-37.721239000000004,145.034293,Darebin,darebin,6
97,398,54.51484,-1.560531,Darlington South Park,darlingtonsouthpark,9
42,1743,53.402784999999994,-6.18863,Darndale,darndale,29
97,961,51.439141,0.22016599999999997,Dartford,dartford,17
3,471,-12.466925,130.840725,Darwin,darwin,31
97,1053,52.262374,-1.1573200000000001,Daventry,daventry,13
3,949,-32.625918,115.640914,Dawesville,dawesville,27
98,439,37.624069,-77.58680600000001,Deep Run,deeprun,26
97,448,53.239537,-2.68796,Delamere,delamere,8
85,336,-26.125349,28.009354,Delta,delta,34
97,237,55.006966000000006,-7.318933,Derry City,derrycity,15
3,546,-41.162847,146.356321,Devonport,devonport,28
97,387,53.688218000000006,-1.646275,Dewsbury,dewsbury,18
3,593,-37.673576000000004,145.153249,Diamond Creek,diamondcreek,6
97,518,51.612792,-1.239,Didcot,didcot,17
97,1388,52.744574,-3.8865269999999996,Dolgellau,dolgellau,12
79,1626,55.937526,37.486263,Dolgoprudny,dolgoprudny,49
3,1687,-33.995775,151.144928,Dolls Point,dollspoint,5
42,1321,53.486227,-6.167897,Donabate,donabate,29
97,631,53.54532,-1.0890950000000001,Doncaster,doncaster,18
97,1469,55.916880000000006,-4.350674,Drumchapel,drumchapel,7
97,852,55.292765,-1.5723479999999999,Druridge Bay,druridgebay,9
3,1082,-32.256257,148.591034,Dubbo,dubbo,5
97,111,52.490027000000005,-2.1345680000000002,Dudley,dudley,14
85,1701,-25.405517,30.10707,Dullstroom,dullstroom,42
97,344,51.443869,-0.079206,Dulwich,dulwich,10
42,1250,53.984567000000006,-6.386803,Dundalk,dundalk,29
65,649,-45.857088,170.519225,Dunedin,dunedin,25
97,1256,56.070684,-3.4706940000000004,Dunfermline,dunfermline,7
42,1415,54.952768999999996,-8.348957,Dungloe,dungloe,29
85,1248,-33.801551,18.621833,Durbanville,durbanville,61
97,232,54.767605,-1.5588520000000001,Durham,durham,9
98,523,35.955931,-78.92638199999999,Durham NC,durhamnc,26
85,437,-29.611438,30.380781,Dusi,dusi,39
74,1690,53.249253,20.238476000000002,Dzialdowo,dzialdowo,23
98,673,44.797663,-93.17537800000001,Eagan,eagan,26
82,915,1.2949540000000002,103.893129,East Coast Park,eastcoastpark,33
97,527,51.129008,0.001373,East Grinstead,eastgrinstead,17
3,1763,-33.604814000000005,150.774321,East Richmond,eastrichmond,5
97,39,50.806248,0.290451,Eastbourne,eastbourne,17
97,143,50.971433000000005,-1.374032,Eastleigh,eastleigh,17
97,308,51.475453,-2.554304,Eastville,eastville,16
85,362,-26.146747,28.352306,Ebotse,ebotse,34
3,1663,-36.139103999999996,144.73921299999998,Echuca Moama,echucamoama,6
97,312,54.867371,-6.259117,Ecos,ecos,15
97,274,50.358315000000005,-4.74285,Eden Project,edenproject,16
97,26,55.978806000000006,-3.291585,Edinburgh,edinburgh,7
97,177,55.643935,-4.669662000000001,Eglinton,eglinton,7
79,959,59.977318999999994,30.260284999999996,Elagin Ostrov,elaginostrov,51
97,1414,57.65339300000001,-3.313072,Elgin,elgin,7
74,1534,53.815245,22.354226,Elk,elk,23
97,1424,51.761787,-0.254277,Ellenbrook Fields,ellenbrookfields,11
97,1026,53.272524,-2.902542,Ellesmere Port,ellesmereport,8
97,1307,57.359262,-2.056968,Ellon,ellon,7
3,614,-23.531435000000002,148.164253,Emerald,emerald,4
97,482,54.343833999999994,-7.642293,Enniskillen,enniskillen,15
97,1459,53.027136999999996,-3.0068330000000003,Erddig,erddig,12
85,1700,-26.078938,28.073178000000002,Ernest Ullmann,ernestullmann,34
42,1412,54.203272,-10.082041,Erris,erris,29
23,173,55.482349,8.442703,Esbjerg,esbjerg,24
97,1173,52.090191,-1.9581220000000001,Evesham,evesham,14
97,948,50.713762,-3.525833,Exeter Riverside,exeterriverside,16
23,162,55.701775,12.568916999999999,Faelledparken,faelledparken,24
42,1712,53.363864,-6.228896,Fairview,fairview,29
42,1384,55.140535,-8.099661,Falcarragh,falcarragh,29
97,206,55.995430000000006,-3.766712,Falkirk,falkirk,7
97,353,54.586363,-5.978879,Falls,falls,15
97,1441,50.848448,-1.1673850000000001,Fareham,fareham,17
42,1316,53.40515799999999,-6.16021,Father Collins,fathercollins,29
44,1539,38.159773,13.339815,Favorita,favorita,55
97,1017,54.274736,-2.952259,Fell Foot,fellfoot,8
3,488,-32.742886999999996,152.17064399999998,Fingal Bay,fingalbay,5
97,24,51.569595,-0.104145,Finsbury Park,finsbury,10
44,1744,43.785132,11.209331,Firenze,firenze,55
85,678,-34.120577000000004,18.398581,Fish Hoek,fishhoek,48
97,635,54.543872,-1.151741,Flatts Lane,flattslane,9
98,1383,38.919711,-77.10189,Fletcher’s Cove,fletcherscove,26
97,965,51.075728999999995,1.1727530000000002,Folkestone,folkestone,17
31,1545,48.403585,2.705253,Fontainebleau,fontainebleau,56
97,68,51.808701,-2.605219,Forest of Dean,forest-of-dean,16
97,481,52.965352,-1.159766,Forest Rec,forestrec,13
3,1582,-32.180174,152.519554,Forster,forster,5
97,748,54.110195999999995,-1.581983,Fountains Abbey,fountainsabbey,18
85,1410,-33.898945,19.091445,Franschhoek,franschhoek,61
14,1678,45.558862,-73.620363,Frédéric Back,fredericback,63
97,49,51.298621999999995,-0.724851,Frimley Lodge,frimleylodge,17
97,376,52.543268000000005,1.6521549999999998,Fritton Lake,frittonlake,11
3,902,-37.991559,145.273622,Frog Hollow,froghollow,6
97,674,51.472465,-0.218493,Fulham Palace,fulhampalace,10
97,363,51.758909,-0.473542,Gadebridge,gadebridge,11
97,196,53.406271999999994,-0.770777,Gainsborough,gainsborough,13
3,1531,-33.642734000000004,151.043648,Galston,galston,5
97,491,56.437766,-5.469021,Ganavan Sands,ganavansands,7
97,248,54.94473299999999,-1.6020940000000001,Gateshead,gateshead,9
3,542,-27.570426,152.270476,Gatton,gatton,4
3,1106,-34.590841,138.750027,Gawler,gawler,30
74,345,54.414280000000005,18.6017,Gdansk,gdansk,23
74,1510,54.316715,18.576999,Gdansk Poludnie,gdanskpoludnie,23
74,337,54.502632,18.558699,Gdynia,gdynia,23
97,1264,52.99391899999999,-1.087124,Gedling,gedling,13
3,933,-33.642342,115.35437399999999,Geographe Bay,geographebay,27
85,709,-33.945384999999995,22.464767000000002,George,george,47
3,1660,-41.109186,146.821208,George Town,georgetown,28
32,1793,52.3905,9.702945,Georgengarten,georgengarten,70
97,638,54.92040600000001,-1.731248,Gibside,gibside,9
85,1463,-26.165394,28.131553999999998,Gilloolys,gilloolys,34
3,364,-35.234051,149.073486,Ginninderra,ginninderra,19
97,389,51.556982,-0.228223,Gladstone,gladstone,10
3,553,-23.871873,151.238458,Gladstone QLD,gladstoneqld,4
42,1373,51.755548,-9.566904,Glengarriff,glengarriff,29
74,1735,51.656428000000005,16.089986,Glogow,glogow,23
97,1311,53.447019,-1.939503,Glossop,glossop,13
97,224,51.878304,-2.231707,Gloucester North,gloucesternorth,16
97,1349,51.661114000000005,-3.788616,Gnoll,gnoll,12
3,706,-26.829014,153.120795,Golden Beach,goldenbeach,4
85,1286,-26.069116,27.95355,Golden Harvest,goldenharvest,34
97,413,53.710492,-0.891098,Goole,goole,18
3,1151,-28.549509999999998,150.307043,Goondiwindi,goondiwindi,4
42,1550,52.679864,-6.298466,Gorey,gorey,29
79,861,55.709559,37.561671000000004,Gorky Park,gorkypark,49
97,14,52.567806000000004,1.73069,Gorleston,gorleston,11
74,1737,52.743889,15.244891,Gorzow Wielkopolski,gorzowwielkopolski,23
74,1304,51.884368,16.992853,Gostyn,gostyn,23
3,1343,-29.643846999999997,152.920487,Grafton,grafton,5
85,995,-33.314705,26.520674,Grahamstown,grahamstown,45
97,1315,51.454464,-3.192412,Grangemoor,grangemoor,12
97,372,53.33890600000001,-1.4646569999999999,Graves,graves,18
97,762,52.02463,0.751362,Great Cornard,greatcornard,11
97,680,51.388527,0.541334,Great Lines,greatlines,17
97,911,51.864146999999996,0.51584,Great Notley,greatnotley,11
3,1713,-27.739202000000002,152.922846,Greenbank,greenbank,4
97,185,55.956525,-4.767348,Greenock,greenock,7
85,582,-33.905997,18.407056,Greenpoint,greenpoint,48
97,53,51.449459000000004,0.075155,Greenwich,greenwich,10
85,1320,-27.733307,29.892468,Grey Goose,greygoose,39
42,578,53.343685,-6.445112,Griffeen,griffeen,29
74,1689,52.101019,20.63864,Grodzisk Mazowiecki,grodziskmazowiecki,23
97,44,51.633076,-0.11376900000000001,Grovelands,grovelands,10
97,1439,49.502340999999994,-2.530312,Guernsey,guernsey,59
97,71,51.247383,-0.562062,Guildford,guildford,17
3,529,-35.178952,149.129405,Gungahlin,gungahlin,19
97,191,51.499404999999996,-0.29225300000000004,Gunnersbury,gunnersbury,10
97,294,51.676037,-0.000831,Gunpowder,gunpowder,11
97,51,51.558174,-0.037787,Hackney Marshes,hackney-marshes,10
97,453,54.628071,-1.644945,Hackworth,hackworth,9
97,35,51.549769,0.59606,Hadleigh,hadleigh,11
88,1527,59.354555000000005,18.039292,Haga,haga,64
65,938,-43.528594,172.62282,Hagley,hagley,25
97,1347,53.572714000000005,-2.6095189999999997,Haigh Woodland,haighwoodland,8
97,127,53.731745999999994,-1.8738709999999998,Halifax,halifax,18
85,693,-25.456948999999998,30.937114,Halls,halls,41
3,835,-37.737592,142.040024,Hamilton,hamilton,6
3,1222,-20.345551,148.95513,Hamilton Island,hamiltonisland,4
65,650,-37.799693,175.272381,Hamilton Lake,hamiltonlake,25
97,72,51.558597999999996,-0.168185,Hampstead Heath,hampsteadheath,10
97,327,53.012501,-2.175164,Hanley,hanley,14
97,1030,51.739369,-1.295191,Harcourt Hill,harcourthill,17
97,1031,51.77766,0.10362400000000001,Harlow,harlow,11
85,1113,-28.279106,29.151059000000004,Harrismith,harrismith,43
97,215,53.992428000000004,-1.521435,Harrogate,harrogate,18
